mol,smiles,E_S1(eV),wl_S1(nm),osc_S1,E_S2(eV),wl_S2(nm),osc_S2,E_S3(eV),wl_S3(nm),osc_S3,E_T1(eV),E_T2(eV),E(S1-T1)(eV),E_S1_SOC(eV),wl_S1_SOC(nm),osc_S1_SOC,E_S2_SOC(eV),wl_S2_SOC(nm),osc_S2_SOC,E_S3_SOC(eV),wl_S3_SOC(nm),osc_S3_SOC,HOMO(eV),LUMO(eV),Gap(eV)
mol1420,CC1=[N+]2C(=Nc3c(-c4ccccc4)cc(-c4cccs4)n3[B-]2(F)F)C=C1c1cccs1,2.17331,570.5,1.261173261,3.231552,383.7,0.156153229,3.423891,362.1,0.391913078,0.848,2.465,1.33,2.17331,570.5,1.261173163,3.231552,383.7,0.156153218,3.423891,362.1,0.391913045,-7.293,-2.0834,5.21
mol1432,O=[N+]([O-])c1ccc(/C=C/c2ccc(/C=C/c3ccc(/C=C/c4ccc([N+](=O)[O-])cc4)cc3)cc2)cc1,3.041761,407.6,3.733880693,3.610888,343.4,0.044840305,3.934816,315.1,7.6e-07,2.055,2.361,0.99,3.041761,407.6,3.733880693,3.610888,343.4,0.044840305,3.934817,315.1,7.6e-07,-7.3698,-1.3262,6.04
mol1436,CCCCN(/N=C/c1ccc(C#Cc2ccc3c4c(cccc24)C(=O)OC3=O)cc1)c1ccccc1,3.101504,399.8,2.088949187,4.016579,308.7,0.120400633,4.280545,289.6,0.085493982,2.086,2.484,1.02,3.101504,399.8,2.088949185,4.016579,308.7,0.120400626,4.280545,289.6,0.085493982,-7.3196,-1.4332,5.89
mol1437,CCCCCOc1ccc(-c2cnc(-c3ccc(-c4ccc(C=C(C#N)C(=O)O)s4)s3)s2)cc1,2.724284,455.1,2.165731037,3.729712,332.4,0.036788679,4.4859,276.4,0.072750204,1.729,2.389,1.0,2.724284,455.1,2.165731036,3.729712,332.4,0.036788678,4.4859,276.4,0.072750165,-7.3922,-1.5504,5.84
mol1446,CCCCCCCCCCOc1ccc(-c2ccc3c(c2)Sc2cc(-c4ccc(OCCCCC)c5nsnc45)ccc2N3c2ccc(C(=O)O)cc2)cc1,3.509065,353.3,0.373770912,4.43116,279.8,0.661482133,4.602873,269.4,0.61721468,2.255,3.236,1.25,3.509066,353.3,0.373769419,4.431161,279.8,0.661482008,4.602873,269.4,0.617214838,-7.7457,-0.8326,6.91
mol1447,CN(c1ccccc1)c1ccc(/C(=C2\C=CC(=O)C(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)=C2)c2ccccc2)cc1,2.642955,469.1,1.606169364,3.458687,358.5,0.06935568,3.746128,331.0,0.950271919,1.568,2.406,1.07,2.642955,469.1,1.606169409,3.458687,358.5,0.069355681,3.746129,331.0,0.950271521,-6.8253,-1.2176,5.61
mol1448,F[B-]1(F)n2c(cc3c4ccccc4c4ccccc4c32)C(c2ccccc2)=C2C=CC(c3ccccc3)=[N+]21,2.552765,485.7,1.119900185,3.482798,356.0,0.121438022,3.944444,314.3,0.719435887,1.534,2.771,1.02,2.552765,485.7,1.11990011,3.482798,356.0,0.121438006,3.944444,314.3,0.719435883,-7.5318,-1.6877,5.84
mol1450,CCC[B-]1(OC(C)=O)OC(/C=C/c2ccc3cc(OC)ccc3c2)=CC(/C=C/c2ccc3cc(OC)ccc3c2)=[O+]1,2.98309,415.6,2.689744716,3.826216,324.0,0.269684033,4.176947,296.8,0.001595336,2.097,2.525,0.89,2.98309,415.6,2.689734249,3.826216,324.0,0.269684035,4.176947,296.8,0.001595336,-7.6377,-1.3618,6.28
mol1453,CCCCCCCn1c2ccc(-c3ccc(/C=C(/C#N)C(=O)O)o3)cc2c2cc3c(cc21)c1ccccc1n3CCC,3.021407,410.4,2.059113142,3.713505,333.9,0.099365689,4.118097,301.1,0.392004643,1.927,2.952,1.09,3.021407,410.4,2.059113132,3.713505,333.9,0.099365689,4.118097,301.1,0.392004643,-7.0962,-1.0513,6.04
mol1454,Clc1ccc(/C=N/c2ccc(/N=N/c3ccccc3)cc2)s1,2.798217,443.1,0.00258624,3.423427,362.2,1.932054407,4.276413,289.9,0.066338828,2.065,2.31,0.73,2.798229,443.1,0.002586214,3.423439,362.2,1.93205458,4.276426,289.9,0.066338537,-8.0007,-1.0033,7.0
mol1458,CCn1c(-c2ccc(-c3nnc(-c4ccc(-c5cc6ccccc6c6ccccc56)s4)o3)s2)cc2ccccc21,3.461561,358.2,1.560443084,4.066513,304.9,0.924879669,4.27995,289.7,0.000803503,2.435,2.714,1.03,3.461561,358.2,1.560442696,4.066514,304.9,0.924879297,4.27995,289.7,0.000803513,-7.5007,-0.608,6.89
mol1462,CCCCCCCCCN(C)c1ccc(S(=O)(=O)O)cc1NC(=O)c1cc(/N=N/c2ccc(O)cc2Cl)c2ccccc2c1O,2.747781,451.2,0.054641603,3.257364,380.6,0.93996776,3.984399,311.2,0.34776414,1.933,2.154,0.81,2.747793,451.2,0.054641174,3.257376,380.6,0.939963251,3.984411,311.2,0.347763166,-7.6803,-0.8993,6.78
mol1467,COc1ccc(/C=C/C2=CC(/C=C/c3ccc(OC)c(OC)c3)=[O+][B-](F)(F)O2)cc1OC,2.947092,420.7,2.385349494,3.834842,323.3,0.234915326,4.416462,280.7,0.05240815,2.046,2.486,0.9,2.947092,420.7,2.385349485,3.834842,323.3,0.234915309,4.416462,280.7,0.05240815,-7.6591,-1.4017,6.26
mol1486,COCCCCN1C(=O)C2=C(c3ccncc3)N(CCOCCOCCOC)C(=O)C2=C1c1ccncc1,3.026942,409.6,0.581274746,3.562742,348.0,0.001031563,4.226433,293.4,2.0802e-05,1.476,3.034,1.55,3.026941,409.6,0.581256334,3.562742,348.0,0.001031563,4.226437,293.4,2.0803e-05,-7.6603,-1.1555,6.5
mol1490,CN(C)c1ccc(/C=C/c2nc3ccccc3s2)cc1,3.413884,363.2,1.842372465,4.58425,270.5,0.053523809,4.720918,262.6,0.102409765,2.288,3.521,1.13,3.413884,363.2,1.842372465,4.58425,270.5,0.053523809,4.720918,262.6,0.102409766,-7.1071,-0.2911,6.82
mol1494,CCCCCCCCCNc1ccc(/N=N/c2ccc(C#N)cc2)cc1,2.82821,438.4,0.165946296,3.885552,319.1,0.746729444,4.602958,269.4,0.053452912,1.924,2.645,0.9,2.828222,438.4,0.165940988,3.885563,319.1,0.74671889,4.602968,269.4,0.053452859,-7.6548,-0.5187,7.14
mol1509,CN(C)c1ccc(/C=C2\CC/C(=C\c3ccc(N(C)C)cc3)C2=O)cc1,3.165055,391.7,2.307566343,3.600926,344.3,1.651e-06,3.917977,316.4,0.158669606,2.236,2.473,0.93,3.165061,391.7,2.307542057,3.600938,344.3,1.651e-06,3.917993,316.4,0.158663348,-6.9941,-0.5386,6.46
mol1513,CCN(CC)c1ccc(/C=C/c2ccc3nc(/C=C/c4ccc(N(C)C)cc4)oc3c2)cc1,3.162161,392.1,2.626943563,3.874069,320.0,0.558904346,4.469586,277.4,0.082366705,2.2,2.512,0.96,3.162161,392.1,2.626943562,3.874069,320.0,0.558904346,4.469586,277.4,0.082366705,-6.6692,-0.3558,6.31
mol1514,CCCCCCCCCCN(C)c1ccc(S(=O)(=O)O)cc1NC(=O)c1cc(/N=N/c2c(Cl)cccc2Cl)c2ccccc2c1O,2.802527,442.4,0.088307106,3.776589,328.3,0.497738249,4.087546,303.3,0.167848634,1.97,2.565,0.83,2.80254,442.4,0.088306398,3.776602,328.3,0.497739694,4.087558,303.3,0.167847451,-8.0258,-0.7363,7.29
mol1516,F[B-]1(F)n2c(c3ccccc3c2-c2ccccc2)C(c2ccccc2)=C2c3ccccc3C(c3ccccc3)=[N+]21,2.33972,529.9,1.204377705,4.203941,294.9,0.42577616,4.244592,292.1,0.075673461,1.246,2.909,1.09,2.33972,529.9,1.204377677,4.203941,294.9,0.425776156,4.244592,292.1,0.07567346,-6.9226,-1.35,5.57
mol1518,CCCCCCCCCCN(C)c1ccc(S(=O)(=O)O)cc1NC(=O)c1cc(/N=N/c2ccccc2Cl)c2ccccc2c1O,2.914119,425.5,0.180638432,3.522563,352.0,0.613714068,4.298892,288.4,0.009274802,1.956,2.553,0.96,2.91413,425.5,0.180634131,3.522574,352.0,0.613704799,4.298904,288.4,0.009274756,-8.0117,-1.0867,6.92
mol1519,COC(=O)/C=C/C1=CC2=C(c3ccc(OC)cc3)c3cc(/C=C/C(=O)OC(C)(C)C)cn3[B-](F)(F)[N+]2=C1,2.837175,437.0,1.242085952,3.433809,361.1,0.479409534,4.014916,308.8,0.130488194,1.828,2.818,1.01,2.837175,437.0,1.24208335,3.433809,361.1,0.479409514,4.014916,308.8,0.130488186,-8.0585,-1.707,6.35
mol1531,CCCCCCCN(CCCCC)c1ccc(-c2ccc(-c3ccc(/C=C(\C#N)C(=O)O)s3)c3nsnc23)cc1,2.543362,487.5,1.641485146,3.419508,362.6,0.299752167,3.952314,313.7,0.047970396,1.653,2.265,0.89,2.543362,487.5,1.64148495,3.419508,362.6,0.299752135,3.952314,313.7,0.047970291,-7.0513,-1.5939,5.46
mol1537,COc1cccc(OCCCCCN2c3ccccc3Sc3cc(-c4ccc(C=C(C#N)C(=O)O)s4)ccc32)c1,2.94504,421.0,1.428805484,3.917152,316.5,0.115110329,4.008933,309.3,0.004727095,1.923,3.0,1.02,2.945041,421.0,1.42880086,3.917153,316.5,0.115110165,4.008934,309.3,0.004727097,-7.2554,-1.2548,6.0
mol1542,CCCCCCCOc1ccc(N2c3ccccc3Sc3cc(/C=C(/C#N)C(=O)O)ccc32)cc1,3.118497,397.6,0.767340597,4.185557,296.2,0.306789251,4.273788,290.1,0.538854676,2.237,3.326,0.88,3.118502,397.6,0.767340477,4.185562,296.2,0.306788969,4.273794,290.1,0.538854453,-7.4293,-0.9288,6.5
mol1544,CCCN(c1ccccc1)c1ccc(C=C(C#N)C(=O)O)cc1,3.481698,356.1,1.43524145,4.668373,265.6,0.018605205,5.247782,236.3,0.021906584,2.321,3.896,1.16,3.481698,356.1,1.435241426,4.668373,265.6,0.018605205,5.247782,236.3,0.021906583,-7.6755,-0.6726,7.0
mol1551,CCCCCCCCCN(C)/N=C/c1cc(/N=N/c2cccc(Br)c2)ccc1O,2.847945,435.3,0.000404763,3.499588,354.3,0.704258715,4.015996,308.7,0.492514196,2.111,2.386,0.74,2.847957,435.3,0.00040476,3.4996,354.3,0.704249157,4.016008,308.7,0.492510391,-7.3923,-0.7386,6.65
mol1559,O=Cc1ccc(-c2ccc(-c3nc4cc5sc(-c6cccs6)nc5cc4s3)s2)s1,3.115402,398.0,2.279723613,3.935042,315.1,0.316487325,4.182548,296.4,0.07522747,2.05,2.64,1.07,3.115402,398.0,2.279723599,3.935042,315.1,0.316487325,4.182548,296.4,0.07522747,-7.6473,-1.2364,6.41
mol1562,CCCCCCC1(CCCC)c2cc(C#Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc2-c2ccc(C=O)cc21,3.5428,350.0,2.506556931,4.313264,287.4,0.036871532,4.381331,283.0,0.034874525,2.635,3.127,0.91,3.5428,350.0,2.506556368,4.313264,287.4,0.036871523,4.381331,283.0,0.034874524,-7.1468,-0.6001,6.55
mol1568,c1ccc(-c2ccc(-c3ccccc3)o2)cc1,4.011426,309.1,1.228392759,5.008178,247.6,0.010371974,5.06356,244.9,0.002751834,2.699,3.702,1.31,4.011426,309.1,1.228392759,5.008178,247.6,0.010371974,5.06356,244.9,0.002751834,-7.499,0.2311,7.73
mol1575,CCCCOc1ccc(/C=C/C2=[O+][B-](F)(F)OC(/C=C/c3ccc(OC)cc3)=C2c2ccccc2)cc1,2.939995,421.7,2.483505343,3.93299,315.2,0.053852559,4.444249,279.0,0.00205691,2.042,2.573,0.9,2.939995,421.7,2.48350528,3.93299,315.2,0.053852533,4.444251,279.0,0.002056908,-7.7752,-1.4224,6.35
mol1578,COc1ccc(/N=N/c2cc(C(N)=O)c(O)c3ccccc23)cc1,2.837557,436.9,0.049890231,3.343678,370.8,1.111215742,4.093968,302.8,0.157696053,2.011,2.212,0.83,2.837568,436.9,0.049889965,3.34369,370.8,1.111214209,4.093979,302.8,0.157695633,-7.5712,-0.6869,6.88
mol1587,CN(C)c1ccc(C2=Nc3sc4ccccc4[n+]3[B-](F)(F)O2)cc1,3.609677,343.5,1.742128932,4.782379,259.3,0.023300584,4.84923,255.7,0.012960303,2.753,3.622,0.86,3.609677,343.5,1.742092069,4.782379,259.3,0.023300583,4.84923,255.7,0.012960304,-7.6853,-0.5454,7.14
mol1594,O=S(=O)(O)c1ccc(/N=N/c2ccc(O)c3ncccc23)cc1,2.691493,460.7,0.007427611,3.313763,374.1,1.271266218,4.433417,279.7,0.017840053,1.948,2.023,0.74,2.691505,460.7,0.007427572,3.313775,374.1,1.271257713,4.433429,279.7,0.017839997,-8.0589,-1.2641,6.79
mol1596,CN(C)c1ccc(/C=C/c2nc(N)c3c([n+]2[O-])CCCC3)cc1,3.348477,370.3,1.394610239,4.1159,301.2,0.242409713,4.608194,269.1,0.000847664,2.213,3.067,1.14,3.348477,370.3,1.394608967,4.1159,301.2,0.242409711,4.608204,269.1,0.000847661,-6.959,-0.08,6.88
mol1597,CN(C)c1ccc(/C=C/c2nc3ccccc3o2)cc1,3.521126,352.1,1.941934686,4.606494,269.2,0.08310116,5.050599,245.5,0.01145471,2.359,3.603,1.16,3.521126,352.1,1.941934685,4.606494,269.2,0.08310116,5.050599,245.5,0.01145471,-7.1396,-0.1863,6.95
mol1602,CCCCCCCCCCCCCOc1cc(/C=N/c2ccc(/N=N/c3ccccc3)cc2)c(OCCCCCCCCCCC)cc1Br,2.792938,443.9,0.002266303,3.343651,370.8,1.903155461,3.968252,312.4,0.099935314,2.062,2.293,0.73,2.79295,443.9,0.002266231,3.343663,370.8,1.903151755,3.968264,312.4,0.099935347,-7.8113,-1.0042,6.81
mol1603,Nc1nc(N)n2nc3ccccc3cc12,2.225076,557.2,0.216006204,4.312243,287.5,0.079153243,4.625823,268.0,0.152990026,1.159,3.16,1.07,2.225076,557.2,0.216006204,4.312243,287.5,0.079153243,4.625823,268.0,0.152990026,-6.4558,-0.4134,6.04
mol1609,C1=NC(c2ccc(-c3ccc(-c4nc(-c5ccccc5)c(-c5ccccc5)[nH]4)s3)s2)=N1,2.45078,505.9,0.915203315,3.059546,405.2,0.882391261,3.210992,386.1,0.001183148,1.559,2.088,0.89,2.45078,505.9,0.915203315,3.059546,405.2,0.882391256,3.210993,386.1,0.001183148,-7.3616,-1.6335,5.73
mol1622,CCCCCCCCCCCCNc1ccc(/N=N/c2ccc(C#N)cc2)cc1,2.786755,444.9,0.185122133,3.257504,380.6,1.423379509,4.597941,269.7,0.022557025,1.905,2.21,0.88,2.786767,444.9,0.185119906,3.257515,380.6,1.423366339,4.597952,269.7,0.022556956,-7.4936,-0.9677,6.53
mol1627,CCCCCCCCCOc1cc2cc(-c3ccc(C(=O)OCC)cc3)sc2cc1C#Cc1ccc(C(=O)OCC)cc1,3.56106,348.2,2.421154494,4.107859,301.8,0.176904399,4.511784,274.8,0.135188656,2.55,3.108,1.01,3.56106,348.2,2.421154293,4.107859,301.8,0.176904314,4.511785,274.8,0.135188788,-7.6937,-0.7729,6.92
mol1636,C1=NC(c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)=N1,2.777153,446.4,0.40203704,3.149645,393.6,0.001596996,3.56481,347.8,1.118425114,1.789,2.733,0.99,2.777153,446.4,0.402035358,3.149645,393.6,0.001596995,3.56481,347.8,1.118425125,-7.3141,-1.2005,6.11
mol1671,C1=CC2=Nc3ccc(-c4ccc(-c5nc6ccccc6n5-c5ccccc5)s4)cc3C2=C1,2.119143,585.1,0.004878323,3.240486,382.6,0.869012049,3.821294,324.5,0.860309021,1.235,2.217,0.88,2.119143,585.1,0.004878323,3.240486,382.6,0.869012013,3.821294,324.5,0.860309021,-7.4947,-1.5036,5.99
mol1705,COc1ccc(-c2nc3c4cccnc4c4ncccc4c3nc2OC)cc1,3.906175,317.4,1.023568084,4.423594,280.3,0.005999775,4.486289,276.4,0.080904762,2.919,3.415,0.99,3.906175,317.4,1.023567173,4.423594,280.3,0.005999788,4.486289,276.4,0.080904753,-7.9386,-0.3336,7.61
mol1727,COC(=O)c1nc(-c2ccccc2)oc1-c1ccccc1,4.373508,283.5,0.902504091,5.026215,246.7,0.566133829,5.144801,241.0,0.041894677,3.073,3.592,1.3,4.373508,283.5,0.902502324,5.026215,246.7,0.566134111,5.144801,241.0,0.041894336,-8.2814,-0.0397,8.24
mol1736,CCCCCCCC1(CCCCCCC)c2ccccc2-c2ccc(C#Cc3ccc4c(c3)C(CCC)(CCCCC)c3ccccc3-4)cc21,3.773567,328.6,2.397459739,4.656422,266.3,0.01702158,4.803225,258.1,0.000125594,2.748,3.319,1.03,3.773567,328.6,2.397459739,4.656422,266.3,0.01702158,4.803225,258.1,0.000125594,-7.4673,-0.2403,7.23
mol1752,OC(O)CNc1ccc(/C=C/c2ccccn2)cc1,3.800345,326.2,1.558380561,4.644627,266.9,0.081238051,4.881857,254.0,0.003823441,2.516,3.81,1.28,3.800345,326.2,1.5583802,4.644627,266.9,0.081238051,4.881858,254.0,0.00382344,-7.2035,0.1198,7.32
mol1792,COc1ccc2cc(/C=C/c3ccc([N+](=O)[O-])cc3)ccc2c1,3.488079,355.5,1.903805612,4.256993,291.2,0.016684586,4.629438,267.8,0.042753401,2.353,3.212,1.14,3.488079,355.5,1.903805551,4.256993,291.2,0.016684586,4.629438,267.8,0.0427534,-7.6109,-1.0976,6.51
